Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Angola,1226.6,2016.25174,2165.96383,2127.25517,2124.38703,2049.11841,2006.56997,2009.78822,1979.59245,2024.34091,64.37728192,76.5827352,73.42696641,73.19313794,67.05677564,63.58796429,63.85033589,61.38859041,65.03676097
Argentina,7266.2,6333.67267,5848.37902,5788.94531,5849.21102,5585.56832,5464.66397,5437.74943,5415.76395,5422.60272,-12.8337691,-19.51255099,-20.33049861,-19.50110071,-23.12944428,-24.79337246,-25.16377983,-25.46635174,-25.37223418
Australia,9382,9546.53261,9293.73689,9364.43949,9296.96779,9236.73421,9239.26272,9188.47375,9115.22212,9273.27219,1.753705074,-0.940770731,-0.187172351,-0.906333511,-1.548345662,-1.521395012,-2.062739821,-2.843507568,-1.158897996
Bolivia (Plurinational State of),3078,2692.42108,2639.41147,2635.37265,2634.7613,2627.98562,2633.64124,2646.05991,2650.60495,2687.41374,-12.52693047,-14.24914003,-14.38035575,-14.40021767,-14.62035023,-14.43660689,-14.03314133,-13.88547921,-12.68961209
Brazil,6903.1,4876.36605,5032.57843,5014.65489,5020.29418,4965.77078,4954.99782,4940.27259,4925.75887,5039.04741,-29.35976518,-27.09683432,-27.35647912,-27.27478698,-28.06462633,-28.22068607,-28.43399936,-28.64424867,-27.00312309
Burkina Faso,2040.3,2169.92957,2193.94464,2180.41665,2170.75998,2171.89208,2170.07935,2165.14078,2155.59758,2162.53703,6.353456354,7.530492575,6.867453316,6.394156742,6.44964368,6.360797432,6.118746263,5.651011126,5.991130226
Cambodia,3489.7,3005.07505,2978.37069,2986.93778,2998.6637,2988.87229,2984.88774,2954.76269,2972.83161,3002.41187,-13.88729547,-14.65252916,-14.4070327,-14.07101757,-14.35159785,-14.46577815,-15.3290343,-14.8112557,-13.96361091
Chile,6361.2,5968.82907,6034.05559,6009.405,5999.00324,5976.70658,5989.43515,5987.94565,5949.55492,6010.17882,-6.168190436,-5.14280969,-5.530324467,-5.6938433,-6.044353581,-5.844256587,-5.86767198,-6.47118594,-5.518159781
Congo,584.2,1174.6305,1014.15949,996.60581,983.36587,988.59754,993.51722,939.8191,947.75143,961.9931,101.0665012,73.59799555,70.59325745,68.32692058,69.22244779,70.06457035,60.87283465,62.23064533,64.66845258
Ecuador,3546.9,3691.70221,3693.06647,3676.70614,3672.73177,3660.51123,3648.51065,3633.99777,3627.69542,3588.23757,4.082500493,4.12096394,3.659706786,3.547654854,3.203113423,2.864773464,2.455602639,2.27791649,1.165456314
Eswatini,3204.4,3182.36984,3191.24128,3197.26541,3187.26969,3166.89935,3158.02447,3192.99699,3207.96546,3247.89671,-0.687497191,-0.410645363,-0.222649794,-0.53458713,-1.170286169,-1.44724535,-0.355854762,0.111267632,1.357405755
