Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Croatia,5868,5420.28343,5439.88798,5366.87865,5423.39264,5176.79267,5069.47116,5090.73148,5160.99095,5163.94969,-7.629798398,-7.295705862,-8.539900307,-7.576812543,-11.77926602,-13.60819427,-13.2458848,-12.04855232,-11.99813071
Cyprus,2671.5,2350.02226,2364.14025,2390.73256,2407.30046,2415.17557,2401.45563,2316.41875,2392.86141,2429.21637,-12.03360434,-11.50513756,-10.50973011,-9.889557926,-9.594775594,-10.1083425,-13.29145611,-10.43004267,-9.069198203
Czechia,6138.9,7061.70502,7131.24487,7133.56434,7149.8329,6938.31445,6593.49936,6798.94743,6861.68926,6997.37953,15.03209077,16.16486455,16.20264771,16.46765544,13.02211227,7.40522504,10.75188438,11.77392139,13.98425663
Democratic People's Republic of Korea,1245.7,2208.09461,2232.89034,2185.44405,2159.62542,2168.65295,2164.74771,2117.8154,2115.1088,2199.9903,77.25733403,79.24783977,75.43903428,73.36641406,74.09110942,73.77761178,70.01006663,69.7927912,76.60675122
Democratic Republic of the Congo,1125,1286.0011,1290.21611,1293.11937,1300.27145,1299.61319,1290.08025,1286.04436,1286.53027,1278.40445,14.31120889,14.68587644,14.943944,15.57968444,15.52117244,14.6738,14.31505422,14.35824622,13.63595111
Denmark,8098.7,7217.83166,7249.22762,7208.47395,7173.45855,7236.39301,7160.1411,7213.13366,7172.56317,7079.42406,-10.87666342,-10.48899675,-10.99220924,-11.42456752,-10.64747416,-11.58900688,-10.93467273,-11.43562337,-12.5856735
Ecuador,2186.8,1264.74677,1234.46685,1288.03038,1351.6053,1334.34196,1320.69701,1319.81135,1279.14449,1177.67059,-42.16449744,-43.54916545,-41.09976312,-38.19255076,-38.98198464,-39.60595345,-39.64645372,-41.50610527,-46.14639702
Egypt,6366.3,6185.22482,6183.12611,6254.01892,6231.23428,6215.23462,6245.98679,5160.41345,5313.49998,5691.55715,-2.844276581,-2.877242511,-1.763678746,-2.121573284,-2.372891318,-1.889845122,-18.94171732,-16.53707837,-10.59866563
Eritrea,1000,1609.96195,1665.02006,1708.80172,1745.74747,1778.99025,1732.46207,1868.73831,,,60.996195,66.502006,70.880172,74.574747,77.899025,73.246207,86.873831,,
Estonia,5001.9,4216.49059,4226.49065,4260.42283,4263.50908,4148.58459,4113.07743,4166.6189,4187.72044,4132.43995,-15.70222136,-15.50229613,-14.82391031,-14.76220876,-17.05982547,-17.76969891,-16.69927628,-16.27740579,-17.38259561
Eswatini,1821.6,2004.12521,2076.58928,1744.91318,1700.22363,1730.75192,1718.84607,1686.51806,1548.86017,1530.61713,10.02004886,13.99809398,-4.209860562,-6.663173584,-4.987268336,-5.640861331,-7.415565437,-14.97254227,-15.97402668
Ethiopia,2995.4,1739.75754,1768.41043,1771.07281,1790.63042,1822.05722,1846.11813,1902.96123,,,-41.9190245,-40.96246144,-40.87357915,-40.22065768,-39.17148895,-38.36822695,-36.47054717,,
Finland,3453.8,4272.95833,4260.08474,4193.65616,4131.28866,4149.92569,4168.60316,4160.47546,4171.90045,4180.54065,23.71759598,23.344859,21.42151138,19.61574671,20.15535613,20.69613643,20.46081012,20.7916049,21.04176993
France,6677.6,6519.01574,6542.62693,6529.99629,6549.2356,6962.61951,6865.74114,6889.76151,7017.41503,7024.30955,-2.374869115,-2.021281149,-2.210430544,-1.922313406,4.26829265,2.817496406,3.177212022,5.088879687,5.19212816
Georgia,2202.2,2155.87872,2171.87631,2191.21191,2191.08968,2247.16369,2232.28911,2267.51785,2291.16401,2254.13009,-2.103409318,-1.376972573,-0.498959677,-0.504510035,2.041762329,1.366320498,2.966027155,4.039778858,2.358100536
Germany,7819.5,7488.561,7530.91318,7487.88766,7538.00595,7626.56921,7553.60572,7450.98325,7469.03346,7553.40539,-4.232227124,-3.690604514,-4.240838161,-3.599898331,-2.467303408,-3.400400026,-4.712791739,-4.48195588,-3.402961954
Greece,3077.3,2781.65193,2767.20882,2730.97049,2741.56379,2775.98358,3105.55526,2984.68336,2945.93529,2947.48116,-9.60738537,-10.07672895,-11.25433042,-10.91009034,-9.791584181,0.918183473,-3.009672115,-4.268830143,-4.218595522
Guatemala,2146.6,1973.20072,1976.51903,1979.48205,1966.22926,1954.46718,1934.04906,1902.18957,,,-8.077857076,-7.923272617,-7.785239448,-8.402624616,-8.950564614,-9.901748812,-11.38593264,,
Honduras,542.1,756.29836,771.66041,797.89333,819.81414,756.93107,786.64343,851.80925,,,39.51270245,42.34650618,47.18563549,51.22931931,39.62941708,45.11039107,57.1313872,,
