Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Angola,877.5,1153.77537,1152.2012,1151.95882,1147.88907,1247.52853,1117.91971,1033.15097,1044.0813,1021.10459,31.48437265,31.30498006,31.2773584,30.81356923,42.16849345,27.39825755,17.73800228,18.98362393,16.36519544
Argentina,3216,2557.95649,2565.70664,2560.18141,2587.93595,2594.77691,2620.26298,2692.63001,,,-20.46155193,-20.22056468,-20.39236909,-19.52935479,-19.31663837,-18.52416107,-16.27394248,,
Australia,1691.7,1902.83283,1897.64333,1860.54642,1819.68951,1817.00131,1820.96443,1822.52257,1771.54932,1725.12606,12.4805125,12.17375007,9.980872495,7.565733286,7.406828043,7.64109653,7.733201513,4.720063841,1.975885795
Botswana,608.1,3280.62889,3244.23772,3190.461,3128.06325,2492.5517,3986.57373,2817.43305,1972.88107,1847.8369,439.4883884,433.5039829,424.6605821,414.399482,309.8917448,555.5786433,363.3173902,224.4336573,203.8705641
Brazil,2657.8,2291.18149,2295.79959,2301.52147,2335.77513,2345.04147,2306.39858,2268.10157,2245.94667,2153.0244,-13.79405937,-13.62030288,-13.40501656,-12.11621905,-11.76757205,-13.22151479,-14.66244375,-15.49602416,-18.99223418
Burundi,640.2,869.77712,868.68255,894.84758,967.22819,961.48207,943.94513,1056.77337,1034.96231,1051.84493,35.86021868,35.68924555,39.7762543,51.0821915,50.18464074,47.44534989,65.06925492,61.66234146,64.29942674
Chile,6286,5176.79813,5172.44188,5223.22841,5174.99518,5237.35417,4919.07938,4663.1657,4672.38538,,-17.64559131,-17.71489214,-16.90696134,-17.67427331,-16.68224356,-21.74547598,-25.81664493,-25.66997486,
Democratic Republic of the Congo,1195.2,1315.22355,1314.20222,1315.54948,1324.03598,1323.45482,1325.44633,1329.56563,1322.57675,1293.82815,10.04213102,9.95667838,10.06940094,10.77944946,10.73082497,10.89745064,11.24210425,10.6573586,8.252020582
Eswatini,1754.5,1547.92553,1565.65243,1595.15217,1591.27755,1639.79854,1993.7377,2564.17557,2039.09095,1765.63231,-11.77397948,-10.76361186,-9.082235965,-9.30307495,-6.537558279,13.63566258,46.14850784,16.22062981,0.634500427
Lesotho,624.8,1329.67079,1352.84987,1366.71816,1361.126,1340.81919,3744.74353,1139.43771,1006.2395,1010.65472,112.8154273,116.5252673,118.744904,117.849872,114.5997423,499.350757,82.36839149,61.04985595,61.75651729
Madagascar,2403.3,2136.45118,2119.14097,2115.3467,2155.44644,2133.86046,2298.07644,2304.14744,2297.89123,2162.89361,-11.10343361,-11.82370199,-11.98157949,-10.31305122,-11.21123206,-4.378294845,-4.125683851,-4.386001332,-10.00317855
Malawi,790.5,1364.66564,1377.09827,1410.81964,1407.30894,1435.15619,1488.56775,1553.49826,1527.22471,1388.27594,72.63322454,74.20597976,78.47180772,78.02769639,81.55043517,88.30711575,96.52096901,93.19730677,75.61997976
Mozambique,1125,1208.00488,1200.48782,1138.77747,1140.60676,1130.01899,1149.28827,1259.44085,1237.31642,1161.45331,7.378211556,6.710028444,1.224664,1.387267556,0.446132444,2.158957333,11.95029778,9.983681778,3.240294222
