Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Ireland,10430.5,9105.82698,9210.04178,9213.42513,9210.60968,9181.48736,9124.36879,9177.16742,9119.85843,9079.53738,-12.6999954,-11.70086017,-11.66842309,-11.69541556,-11.97461905,-12.52223009,-12.01603547,-12.56547213,-12.95204084
Japan,4370.9,4067.28327,4061.72602,4043.39341,4033.88033,3966.3958,3930.26121,3932.62729,4006.67285,3956.60606,-6.946320666,-7.073462674,-7.49288682,-7.710532613,-9.254483058,-10.08119129,-10.02705873,-8.333001213,-9.478458441
Kazakhstan,1272.7,1236.94302,1234.57464,1192.20356,1231.92623,1276.70814,1346.77276,1363.33514,1384.67396,1431.61735,-2.809537204,-2.995628192,-6.324855818,-3.203722008,0.314932034,5.820127288,7.121485032,8.798142532,12.48663078
Kenya,2199.2,2006.45639,2001.34162,2044.65596,2143.97934,2153.2513,2170.99332,2190.07671,2130.04993,2185.23886,-8.764260186,-8.996834303,-7.027284467,-2.51094307,-2.089337032,-1.282588214,-0.414845853,-3.144328392,-0.634828119
Kyrgyzstan,2542.3,2280.91282,2280.09362,2277.16315,2241.60378,2256.84715,2224.22543,2159.0494,2164.41999,2188.86811,-10.28152382,-10.31374661,-10.42901507,-11.82772371,-11.22813397,-12.51129174,-15.07495575,-14.86370649,-13.90205287
Latvia,4724.5,4866.98733,4881.30706,4888.02311,4913.12578,4990.87941,4980.57224,5030.93726,5049.74772,5073.6088,3.015924013,3.319019155,3.461172823,3.992502487,5.638256112,5.420091862,6.486131019,6.884278125,7.389327971
Lithuania,4735,5306.41654,5304.67033,5311.65785,5341.39243,5215.5916,5188.46161,5224.34499,5213.0489,5255.23644,12.06793115,12.03105238,12.17862408,12.80659831,10.1497698,9.576802746,10.33463548,10.09606969,10.98704203
Luxembourg,6329.4,5958.13834,5946.09226,6004.12501,6038.6111,6203.05247,6124.58074,6199.39986,6225.62802,6235.74289,-5.8656691,-6.055988561,-5.139112554,-4.59425696,-1.996200746,-3.235998041,-2.053909375,-1.639523178,-1.479715455
Mongolia,1122.8,1269.03113,1258.52521,1253.02058,1293.10785,1318.99029,1334.62641,1384.02842,1394.77412,1457.62531,13.02379141,12.08810207,11.59784289,15.16813769,17.47330691,18.86590755,23.26580157,24.22284646,29.82056555
Netherlands (Kingdom of the),9393.1,8197.25399,8245.46535,8300.88265,8234.67992,8245.70408,8246.83138,8287.65086,8435.7859,8459.41806,-12.73111124,-12.21784768,-11.62786886,-12.33267058,-12.21530613,-12.20330477,-11.76873599,-10.19167368,-9.94008304
Norway,5103.4,5460.869,5415.77263,5398.41992,5367.83188,5072.13502,5053.69011,5079.48781,5071.78156,5038.14809,7.004526394,6.120872947,5.780850413,5.181484501,-0.612630403,-0.974054356,-0.468554101,-0.619556374,-1.278596818
Peru,1766,1558.72288,1560.51213,1579.06273,1556.23715,1557.00772,1571.74574,1571.72369,1575.30493,1573.53011,-11.73709626,-11.63577973,-10.58534938,-11.87785108,-11.83421744,-10.99967497,-11.00092356,-10.79813533,-10.89863477
Poland,5239.4,5487.40113,5515.54126,5550.4174,5575.18192,5489.82528,5485.89659,5606.49218,5645.28176,5588.15266,4.733387983,5.270474864,5.936126274,6.408785739,4.779655686,4.7046721,7.006378211,7.746722144,6.656347292
Republic of Korea,3793.7,3770.60082,3796.74407,3797.14333,3793.68411,3550.58664,3538.84609,3485.58903,3455.76591,3444.61866,-0.608882621,0.080240135,0.090764425,-0.000418852,-6.40834436,-6.717819279,-8.121648259,-8.907770514,-9.201606347
Republic of Moldova,2575.3,2783.97324,2764.23362,2673.7612,2751.42174,2719.23633,2697.87498,2792.42443,2784.25963,2938.87869,8.102871122,7.336373238,3.82329049,6.83888246,5.58910923,4.759638877,8.431034443,8.113991768,14.11791597
Romania,4004.4,3516.21843,3541.64011,3540.17044,3695.86895,4058.52944,4076.4159,4183.83006,4199.68572,4224.63572,-12.19112901,-11.55628534,-11.59298671,-7.704800969,1.351749076,1.798419239,4.480822595,4.876778544,5.499843173
Russian Federation,3550.8,2672.53192,2737.96462,2637.80039,2566.30284,2544.96045,2491.78723,2478.84421,2478.05877,2467.39337,-24.73437197,-22.89161259,-25.71250451,-27.72606624,-28.32712487,-29.82462459,-30.18913456,-30.21125465,-30.51162076
Serbia,4927.7,3900.22779,3924.4769,3921.22908,3898.04061,3784.11732,3766.31608,3802.04315,3816.29364,3839.41635,-20.85094892,-20.35885099,-20.42476044,-20.89533433,-23.20723015,-23.5684786,-22.84345334,-22.55426183,-22.08502242
Slovakia,4975,4661.88941,4654.89737,4643.41567,4775.02439,4347.35464,4315.1373,4277.24005,4296.44046,4247.90506,-6.293680201,-6.434223719,-6.665011658,-4.019610251,-12.61598714,-13.26357186,-14.02532563,-13.63938774,-14.61497367
Slovenia,5469.9,5114.71544,5111.22841,5120.30242,5096.86578,5106.07644,5141.76731,5232.53684,5278.41768,5256.71676,-6.493437906,-6.557187334,-6.391297464,-6.819763067,-6.651374979,-5.998879139,-4.339442403,-3.500654857,-3.897388252
Sweden,6995,6295.17221,6310.70664,6313.2446,6352.76948,6138.19841,6120.57928,6172.86507,6156.90572,6143.23456,-10.00468606,-9.782607005,-9.746324518,-9.181279771,-12.24877184,-12.50065361,-11.75317984,-11.98133352,-12.17677541
Switzerland,5471,5799.42132,5813.90236,5867.65857,5850.20944,5997.48501,5993.28038,6209.60234,6229.50911,6256.8637,6.002948638,6.267635898,7.25020234,6.931263754,9.623195211,9.546342168,13.50031694,13.86417675,14.36416926
Tajikistan,2800,2586.91748,2577.06034,2665.68593,2652.13646,2623.95102,2624.15075,2547.256,2561.5527,2605.18761,-7.61009,-7.962130714,-4.796931071,-5.280840714,-6.287463571,-6.280330357,-9.026571429,-8.515975,-6.957585357
Turkiye,2991.6,2556.68715,2543.29067,2525.2055,2587.94563,2563.59804,2588.8201,2621.93256,2639.92118,2660.4194,-14.53780084,-14.98560402,-15.59013571,-13.49292586,-14.30679101,-13.46369501,-12.35684717,-11.75554285,-11.07035031
Turkmenistan,1807.6,2036.14862,2041.41665,2083.7872,2083.1281,2127.55304,2135.4147,2156.3884,2229.59356,2149.60892,12.64376079,12.93519861,15.27922107,15.24275835,17.70043372,18.13535627,19.29566276,23.34551671,18.92060854
Ukraine,3924.9,3238.03477,3278.93354,3250.60729,3375.66473,3415.46842,3409.60713,3498.21805,3520.21637,3577.74581,-17.50019695,-16.45816352,-17.17986981,-13.99361181,-12.97947922,-13.12881526,-10.87115468,-10.31067365,-8.844918087
United Kingdom of Great Britain and Northern Ireland,8590.4,7725.09232,7756.23976,7815.02254,7884.45077,7818.7842,7800.99422,7802.67468,7777.24283,7763.65913,-10.07296145,-9.710377165,-9.026092615,-8.21788543,-8.982303502,-9.189394906,-9.169832837,-9.465882497,-9.62400901
United States of America,3127.3,3364.87522,3379.25614,3205.10786,3137.3085,3261.08059,3268.38732,3346.25619,3249.07096,3237.6556,7.596815784,8.056666773,2.488020337,0.320036453,4.277830397,4.511473795,7.001445016,3.89380488,3.528782016
Uzbekistan,4987.8,3965.19715,3941.92671,3997.6162,3918.31345,3862.19413,3807.93552,3724.34927,3697.30006,3557.43572,-20.50208208,-20.96862926,-19.85211516,-21.4420496,-22.56718132,-23.65500782,-25.33082181,-25.87312924,-28.67725811
