Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Angola,1083.6,1341.635,1326.28091,1375.15829,1414.84427,1402.23635,1404.05931,1373.73744,1372.88301,1391.10534,23.81275378,22.39580196,26.9064498,30.56886951,29.40534791,29.57357973,26.77532669,26.69647564,28.37812292
Argentina,7429.6,4734.40515,4469.47105,4639.7138,4668.22965,4534.50564,4297.95388,3967.91245,4566.46788,4955.63844,-36.27644624,-39.84237308,-37.55096102,-37.16714695,-38.96702864,-42.15093841,-46.59318873,-38.53682729,-33.2987181
Australia,6682.2,5956.46681,5906.86547,5916.61216,5884.30382,5937.18707,5889.55238,5972.43485,6110.53915,6174.60727,-10.86069244,-11.602983,-11.4571225,-11.94062105,-11.14921628,-11.86207566,-10.62172862,-8.554979647,-7.596191823
Bahamas,7477.3,6104.86949,5964.42704,5965.12802,5998.60962,6109.47555,6180.21803,6229.44813,5897.79623,5892.62383,-18.3546268,-20.23287764,-20.22350287,-19.77572626,-18.29302623,-17.34692964,-16.68853557,-21.12398553,-21.19316023
Bolivia (Plurinational State of),3050.6,2938.51252,3063.44859,3140.96415,3135.66872,3157.29595,2795.08393,2944.88184,2806.17065,2656.26839,-3.674276536,0.42118239,2.962176293,2.788589786,3.497539828,-8.375928342,-3.465487445,-8.01250082,-12.92636235
Botswana,798,834.80434,862.81102,921.78286,1042.7916,1104.19331,1162.89067,976.73971,,,4.612072682,8.121681704,15.51163659,30.6756391,38.37008897,45.72564787,22.3984599,,
Brazil,4649.7,3867.08785,3921.76945,3990.73746,4005.84713,3982.80614,3971.63573,3890.03704,3534.01594,3137.11593,-16.83145472,-15.65543046,-14.17215175,-13.84719165,-14.34272878,-14.58296815,-16.33789191,-23.99475364,-32.53078844
Burundi,1555.6,1377.76125,1395.27922,1332.40914,1257.48211,1286.23332,1281.73877,1286.39194,1271.89122,1236.54593,-11.43216444,-10.3060414,-14.34757393,-19.16417395,-17.31593469,-17.60486179,-17.30573798,-18.23790049,-20.51003278
Chile,11810.9,9725.14739,9547.82707,9838.24035,9672.53552,9606.47414,9631.26294,9632.91208,9675.73685,9524.02801,-17.65955693,-19.16088469,-16.70202652,-18.10500876,-18.6643343,-18.4544536,-18.44049073,-18.07790389,-19.36238551
Congo,1000,1077.66722,1069.54999,1083.59036,1076.87682,1078.39457,1019.8568,1039.81553,1017.0441,1001.43193,7.766722,6.954999,8.359036,7.687682,7.839457,1.98568,3.981553,1.70441,0.143193
Ecuador,4641.3,3036.77711,3084.12652,3021.8952,3046.29105,3024.34752,3005.22141,3009.18551,3070.26426,3034.72029,-34.57054898,-33.55037339,-34.89118997,-34.3655646,-34.83835305,-35.25043824,-35.16502898,-33.84904531,-34.61486459
Eswatini,1428.6,1980.37841,2065.95798,2095.73595,2060.78306,2059.53131,2132.16661,1864.6033,1749.59191,1595.44341,38.62371623,44.61416632,46.69858253,44.25192916,44.16430841,49.24867773,30.51962061,22.46898432,11.67880512
