Countries,Yield,Predictions_0 days before harvest,Predictions_16 days before harvest,Predictions_32 days before harvest,Predictions_48 days before harvest,Predictions_64 days before harvest,Predictions_80 days before harvest,Predictions_96 days before harvest,Predictions_112 days before harvest,Predictions_128 days before harvest,Error_0 days before harvest (%),Error_16 days before harvest (%),Error_32 days before harvest (%),Error_48 days before harvest (%),Error_64 days before harvest (%),Error_80 days before harvest (%),Error_96 days before harvest (%),Error_112 days before harvest (%),Error_128 days before harvest (%)
Argentina,2919.1,2724.79286,2722.59169,2727.79526,2735.83799,2724.84755,2738.1291,2765.2924,2768.81102,2598.3897,-6.656405741,-6.731811517,-6.553552122,-6.278031243,-6.654532219,-6.19954438,-5.269007571,-5.148469734,-10.98661574
Australia,1772.2,1816.04194,1759.11473,1746.80707,1750.17245,1775.20806,1751.92767,1672.61079,1647.95441,1545.38207,2.473870895,-0.738363052,-1.432847873,-1.242949441,0.169735921,-1.143907573,-5.61952432,-7.010810857,-12.79866437
Bosnia and Herzegovina,2933,2420.78761,2406.97733,2448.20821,2379.79212,2385.57937,2482.61975,2519.12722,2295.90079,2180.10733,-17.46377054,-17.93462905,-16.52887112,-18.8615029,-18.66418786,-15.35561712,-14.11090283,-21.72175963,-25.66971258
Bulgaria,1374.7,1593.49547,1584.81863,1611.3118,1688.22918,1704.60238,1719.69759,1673.69342,1631.54409,,15.91587037,15.28468975,17.21188623,22.80709828,23.99813632,25.09620935,21.74972139,18.68364661,
Cote d'Ivoire,1451.9,1227.26123,1235.34318,1236.8819,1439.62049,1309.25935,1258.05777,1205.7523,1206.27323,,-15.47205524,-14.91540877,-14.80942902,-0.845754529,-9.824412838,-13.35093533,-16.95348853,-16.91760934,
El Salvador,1922.5,1959.96297,1962.23349,1957.07694,1960.41333,1945.8179,1944.00781,1892.9792,1829.76054,,1.948659038,2.066761508,1.798540442,1.972084785,1.212894668,1.118741743,-1.535542263,-4.82389909,
Poland,2070,1948.19668,1927.92867,1891.37866,1910.77614,1979.12919,2060.56798,2108.11744,2035.29523,1931.34888,-5.884218357,-6.863349275,-8.629050242,-7.691973913,-4.389894203,-0.45565314,1.841422222,-1.676558937,-6.698121739
Republic of Korea,1471.2,1587.3564,1586.61389,1533.50772,1663.13434,1738.08888,1727.29175,1707.822,,,7.895350734,7.844881049,4.235163132,13.04610794,18.14089723,17.40699769,16.08360522,,
Suriname,1000,1337.16776,1322.91268,1333.26472,1335.33447,1319.07469,1316.3682,1303.8383,1298.52356,,33.716776,32.291268,33.326472,33.533447,31.907469,31.63682,30.38383,29.852356,
Tajikistan,323.9,460.63617,368.04752,326.92812,327.14466,319.38331,371.65121,422.90568,336.42374,,42.2155511,13.62998456,0.934893486,1.001747453,-1.394470516,14.74257796,30.56674282,3.86654523,
Viet Nam,1573.6,1557.02966,1548.03318,1558.32886,1583.44446,1545.66755,1551.54992,1608.1509,1562.13066,1480.04287,-1.053021098,-1.624734367,-0.970458821,0.625601169,-1.775066726,-1.401250635,2.195659634,-0.728859939,-5.945420056
